Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"TorturedChunk",hard,44,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","23:59:10","00:00:09",
Bot3,"TorturedChunk",hard,44,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","00:00:14","00:00:19",
Bot3,"TorturedChunk",hard,44,Failed,"Dome Buildings","Dome Buildings: Objective #6","1","00:00:24","00:01:15",
Bot3,"TorturedChunk",hard,44,Completed,"Dome Buildings","Dome Buildings: Objective #3","1","00:01:20","00:01:29",
Bot3,"TorturedChunk",hard,44,Failed,"Dome Buildings","Dome Buildings: Objective #5","1","00:01:34","00:01:34",
Bot3,"TorturedChunk",hard,44,Completed,"Dome Buildings","Dome Buildings: Objective #9","1","00:01:39","00:02:33",
Bot3,"TorturedChunk",hard,44,Completed,"Dome Buildings","Dome Buildings: Objective #8","1","00:02:38","00:02:59",
Bot3,"TorturedChunk",hard,44,Completed,"Dome Buildings","Dome Buildings: Objective #4","1","00:03:04","00:04:04",
Bot3,"TorturedChunk",hard,44,Failed,"Dome Buildings","Dome Buildings: Objective #7","1","00:04:09","00:04:09",
Bot3,"TorturedChunk",hard,44,Failed,"D2 Area","D2 Area: Objective #3","1","00:04:14","00:04:24",
Bot1,"Logical Solutions",hard,40,Completed,"BMP #1","BMP #1: Objective #1","1","23:56:40","23:56:51",
Bot1,"Logical Solutions",hard,40,Failed,"Documents","Item Military documents #1","1","23:56:56","23:58:32",
Bot1,"Logical Solutions",hard,40,Failed,"Documents","Item Military documents #3","1","23:58:37","23:59:22",
Bot6,"All_Heil_Lord_Pepe",hard,40,Failed,"Snatch","Item Lightkeeper intelligence","1","23:52:48","23:53:06",
Bot6,"All_Heil_Lord_Pepe",hard,40,Failed,"Command Center","Command Center: Objective #1","1","23:53:11","00:03:51",
Bot2,"Wrecker",hard,35,Failed,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","23:56:40","00:00:14",
Bot5,"Choccy",hard,45,Pending,"Pest Control","Zone eger_barracks_area_1","1","23:56:51","N/A",
Bot5,"Choccy",hard,45,Pending,"Pest Control","Zone eger_barracks_area_2","1","23:57:43","N/A",
Bot5,"Choccy",hard,45,Completed,"Command Center","Command Center: Objective #9","1","23:58:04","23:58:54",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #3","1","23:58:59","00:02:18",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #2","1","00:02:24","00:02:24",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #6","1","00:02:29","00:03:42",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #4","1","00:03:47","00:03:47",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #7","1","00:03:52","00:04:48",
Bot5,"Choccy",hard,45,Failed,"D2 Switch","D2 Switch: Objective #1","1","00:04:53","00:04:53",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #8","1","00:04:54","00:04:54",
Bot5,"Choccy",hard,45,Failed,"Command Center","Command Center: Objective #5","1","00:04:59","00:05:24",
Bot4,"F1oridaMan",hard,46,Active,"D2 Switch","D2 Switch: Objective #1","1","23:59:10","N/A",
Bot28,"savid_dubs",hard,44,Completed,"D2 Area","D2 Area: Objective #5","1","23:59:48","00:00:17",
Bot28,"savid_dubs",hard,44,Failed,"D2 Area","D2 Area: Objective #6","2","00:00:22","00:04:38",
Bot28,"savid_dubs",hard,44,Completed,"D2 Area","D2 Area: Objective #2","1","00:00:30","00:01:11",
Bot28,"savid_dubs",hard,44,Completed,"D2 Area","D2 Area: Objective #1","1","00:01:16","00:01:21",
Bot28,"savid_dubs",hard,44,Failed,"D2 Area","D2 Area: Objective #4","1","00:01:26","00:04:38",
