Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Thunderbags",normal,53,Completed,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","13:18:23","13:20:38",
Bot1,"Thunderbags",normal,53,Completed,"Boss Hunter","Spawn Point (72.0 14.1 20.2)","1","13:20:43","13:21:52",
Bot1,"Thunderbags",normal,53,Failed,"Boss Hunter","Spawn Point (29.9 23.9 -25.2)","1","13:21:57","13:22:53",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (36.1 22.7 334.7)","1","13:18:23","13:18:40",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (99.6 28.1 314.2)","1","13:18:45","13:20:00",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (133.7 23.5 268.6)","1","13:20:05","13:20:19",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (101.6 28.1 314.8)","1","13:20:24","13:20:44",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (109.4 22.7 239.4)","1","13:20:49","13:21:05",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (132.1 23.5 270.3)","1","13:21:10","13:21:27",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (103.8 28.1 316.1)","1","13:21:32","13:21:46",
Bot2,"TimmyGG",normal,49,Completed,"Boss Hunter","Spawn Point (145.0 22.9 253.3)","1","13:21:51","13:23:50",
Bot2,"TimmyGG",normal,49,Completed,"Capital Insight","Capital Insight: Objective #4","4","13:23:55","13:25:06",
Bot2,"TimmyGG",normal,49,Completed,"Capital Insight","Capital Insight: Objective #5","5","13:25:11","13:27:37",
Bot2,"TimmyGG",normal,49,Failed,"Capital Insight","Capital Insight: Objective #1","1","13:27:42","13:28:53",
Bot6,"Mihai",normal,33,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","13:18:39","13:18:43",
Bot6,"Mihai",normal,33,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","13:18:48","13:19:07",
Bot6,"Mihai",normal,33,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","13:19:12","13:20:20",
Bot6,"Mihai",normal,33,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","13:20:25","13:21:19",
Bot6,"Mihai",normal,33,Failed,"Skyside Hotel","Skyside Hotel: Objective #5","1","13:21:24","13:24:38",
Bot7,"TonioX",normal,54,Failed,"Underground North","Underground North: Objective #5","1","13:18:39","13:24:49",
Bot11,"matt",normal,53,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","13:19:12","13:22:18",
Bot10,"Swankyorc",normal,52,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","13:19:14","13:20:48",
Bot15,"GopnikWarrior",normal,46,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","13:19:40","13:24:23",
Bot14,"大熊",normal,67,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","13:19:40","13:20:19",
Bot14,"大熊",normal,67,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","13:20:24","13:23:36",
Bot37,"MeowletteBlackpaw",normal,37,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:26:49","13:31:26",
Bot37,"MeowletteBlackpaw",normal,37,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","13:31:31","13:33:54",
Bot38,"STUOKD",normal,37,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:26:49","13:34:32",
Bot39,"All_Heil_Lord_Pepe",normal,53,Active,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:26:49","N/A",
Bot40,"Baliston",normal,34,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","13:26:50","13:29:40",
Bot40,"Baliston",normal,34,Completed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","2","13:29:45","13:31:56",
Bot40,"Baliston",normal,34,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","13:32:02","13:32:34",
Bot40,"Baliston",normal,34,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","13:32:39","13:34:06",
Bot40,"Baliston",normal,34,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","13:34:11","N/A",
Bot41,"MissingInAction",normal,51,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","13:26:50","13:29:21",
Bot42,"Лев Белый (IhanaMies)",normal,1,Failed,"Underground North","Underground North: Objective #1","1","13:27:39","13:28:19",
Bot42,"Лев Белый (IhanaMies)",normal,1,Failed,"Underground North","Underground North: Objective #2","1","13:28:24","13:28:36",
Bot50,"Дед Любитель (DasWulf)",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #2","1","13:31:46","13:32:18",
Bot50,"Дед Любитель (DasWulf)",normal,1,Completed,"Mira Avenue Benches","Mira Avenue Benches: Objective #1","1","13:32:24","13:32:49",
Bot50,"Дед Любитель (DasWulf)",normal,1,Failed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","13:32:54","13:33:33",
Bot51,"laser50",normal,46,Failed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","2","13:32:50","13:34:51",
Bot51,"laser50",normal,46,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:33:05","13:33:19",
Bot51,"laser50",normal,46,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","13:33:24","13:34:51",
Bot52,"r2go",normal,47,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","13:32:50","13:32:54",
Bot52,"r2go",normal,47,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","13:32:59","N/A",
Bot57,"Илюха БОБР (archon0ne)",normal,1,Failed,"Underground North","Underground North: Objective #1","1","13:34:22","13:34:31",
Bot57,"Илюха БОБР (archon0ne)",normal,1,Pending,"Underground North","Underground North: Objective #2","1","13:34:36","N/A",
Bot60,"notGreg",normal,68,Pending,"Tarbank","Tarbank: Objective #5","1","13:35:11","N/A",
Bot59,"aleves",normal,41,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","13:35:11","N/A",
