Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot42,"Skeeze",hard,70,Failed,"Crane Sniping","Crane Sniping: Objective #2","1","16:29:56","16:32:11",
Bot41,"Doge",hard,67,Failed,"Crane Sniping","Crane Sniping: Objective #2","2","16:29:57","16:32:32",
Bot44,"Big Chungus",hard,59,Pending,"Boss Hunter","Spawn Point (-151.9 -4.9 -268.6)","1","16:29:57","N/A",
Bot45,"jennacide",hard,62,Pending,"Boss Hunter","Spawn Point (-151.9 -4.9 -268.6)","1","16:29:57","N/A",
Bot43,"Ratthew",hard,68,Active,"Resort West Wing Basement","Resort West Wing Basement: Objective #1","1","16:45:03","N/A",
Bot50,"RainbowPC",hard,67,Active,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","16:30:05","N/A",
Bot51,"Awafrican",hard,61,Pending,"Smuggler's Base VEX Buildings","Smuggler's Base VEX Buildings: Objective #1","1","16:30:06","N/A",
Bot58,"Alex",hard,60,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #6","1","16:37:23","16:37:51",
Bot58,"Alex",hard,60,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #7","1","16:37:56","16:41:17",
Bot59,"kova",hard,65,Completed,"Bus Terminal","Bus Terminal: Objective #3","2","16:37:34","16:37:51",
Bot59,"kova",hard,65,Completed,"Bus Terminal","Bus Terminal: Objective #2","3","16:37:56","16:38:31",
Bot59,"kova",hard,65,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","16:38:36","16:39:03",
Bot59,"kova",hard,65,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","16:39:08","16:41:03",
Bot60,"Claus1978",hard,63,Failed,"Resort Sniping","Resort Sniping: Objective #1","1","16:37:34","16:40:49",
Bot63,"Carl",hard,57,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #3","1","16:43:27","16:44:52",
Bot63,"Carl",hard,57,Completed,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #1","1","16:44:57","16:45:12",
Bot63,"Carl",hard,57,Active,"Resort Main 2nd Floor","Resort Main 2nd Floor: Objective #2","1","16:45:17","N/A",
Bot64,"svbtext",hard,64,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #6","1","16:43:27","16:45:49",
Bot65,"Sarix",hard,67,Completed,"Bus Terminal","Bus Terminal: Objective #3","2","16:43:36","16:43:47",
Bot65,"Sarix",hard,67,Completed,"Bus Terminal","Bus Terminal: Objective #2","3","16:43:52","16:44:32",
Bot65,"Sarix",hard,67,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","16:44:37","16:44:54",
Bot65,"Sarix",hard,67,Active,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","16:44:59","N/A",
