Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot32,"ThatGuyXIV",normal,53,Pending,"Developer's Secrets - Part 2","Zone Hookah_quest","1","15:07:52","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"The Hive","The Hive: Objective #1","1","15:08:42","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"The Hive","The Hive: Objective #2","1","15:09:14","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"The Hive","The Hive: Objective #3","1","15:09:34","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"The Hive","The Hive: Objective #4","1","15:09:54","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"The Hive","The Hive: Objective #5","1","15:10:16","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"Information Source","Zone quest_zone_place_c24_tigr1","1","15:10:36","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"Information Source","Zone quest_zone_place_c24_tigr2","1","15:10:58","N/A",
Bot32,"ThatGuyXIV",normal,53,Pending,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","15:11:19","N/A",
Bot33,"jbs4bmx",normal,35,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","15:07:52","15:08:02",
Bot40,"Wrecker",normal,68,Failed,"Information Source","Zone quest_zone_place_c24_tigr1","1","15:08:19","15:11:12",
Bot41,"kwebber321",normal,40,Completed,"Nikitskaya 6","Nikitskaya 6: Objective #4","1","15:08:19","15:08:31",
Bot41,"kwebber321",normal,40,Failed,"Nikitskaya 6","Nikitskaya 6: Objective #5","1","15:11:13","15:11:43",
Bot43,"Arys",normal,32,Failed,"Pyramid Scheme","Zone Bank_points_6","1","15:08:24","15:17:37",
Bot42,"Bnuy",normal,45,Failed,"Information Source","Zone quest_zone_place_c24_tigr2","1","15:08:24","15:10:34",
Bot42,"Bnuy",normal,45,Failed,"Information Source","Zone quest_zone_place_c24_tigr1","1","15:10:39","15:17:11",
Bot66,"iDkGK",normal,57,Completed,"Pyramid Scheme","Zone Bank_points_5","1","15:16:07","15:17:08",
Bot66,"iDkGK",normal,57,Completed,"Pyramid Scheme","Zone Bank_points_15","1","15:17:13","15:20:24",
Bot66,"iDkGK",normal,57,Failed,"Pyramid Scheme","Zone Bank_points_14","1","15:20:30","15:22:20",
Bot67,"itsMickle",normal,54,Completed,"Pyramid Scheme","Zone Bank_points_5","1","15:21:30","15:23:57",
Bot67,"itsMickle",normal,54,Active,"Pyramid Scheme","Zone Bank_points_15","1","15:24:02","N/A",
Bot68,"Nomad_420",normal,30,Failed,"Developer's Secrets - Part 1","Zone Office_quest","1","15:21:30","15:21:41",
