Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Colonel",hard,59,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","15:54:40","N/A",
Bot6,"CrocodileJonesy",hard,59,Active,"Return the Favor","Zone place_keeper5_2","1","15:54:40","N/A",
Bot13,"Bingus",hard,68,Active,"Return the Favor","Zone place_keeper5_1","1","15:54:50","N/A",
Bot14,"Zatunopante",hard,58,Pending,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","15:54:50","N/A",
Bot1,"职业玩家",hard,67,Failed,"Boss Hunter","Spawn Point (-181.3 34.1 -164.1)","1","15:58:07","15:58:24",
Bot29,"nooky",hard,64,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","16:00:41","16:00:50",
Bot29,"nooky",hard,64,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","16:00:56","16:00:59",
Bot29,"nooky",hard,64,Active,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","16:01:04","N/A",
Bot2,"Borkel",hard,61,Active,"Old Sawmill","Old Sawmill: Objective #1","1","16:05:18","N/A",
Bot3,"Tyfon",hard,66,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","16:05:18","16:05:46",
Bot5,"Gleneth",hard,64,Pending,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","16:05:18","N/A",
