Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot36,"Brin",normal,30,Completed,"Big Red","Big Red: Objective #2","1","18:37:50","18:46:52",
Bot36,"Brin",normal,30,Pending,"Big Red","Big Red: Objective #3","1","18:46:57","N/A",
Bot36,"Brin",normal,30,Failed,"Big Red","Big Red: Objective #5","1","18:47:32","18:47:44",
Bot36,"Brin",normal,30,Completed,"Big Red","Big Red: Objective #1","1","18:47:49","18:49:48",
Bot36,"Brin",normal,30,Failed,"Big Red","Big Red: Objective #4","1","18:49:53","18:50:10",
Bot36,"Brin",normal,30,Completed,"Storage","Storage: Objective #2","1","18:50:15","19:00:16",
Bot36,"Brin",normal,30,Active,"Storage","Storage: Objective #1","1","19:00:21","N/A",
Bot37,"Trainfriend",normal,31,Failed,"Bullshit","Item Flash drive with fake info","1","18:37:50","18:44:42",
Bot37,"Trainfriend",normal,31,Failed,"Bullshit","Zone Q019_3","1","18:44:47","18:45:45",
Bot49,"Holynevil",normal,50,Failed,"Bullshit","Item Flash drive with fake info","1","18:38:02","18:49:07",
Bot48,"IvanTheThicc",normal,41,Completed,"Boss Hunter","Spawn Point (5.8 1.2 -103.4)","1","18:38:02","18:46:15",
Bot48,"IvanTheThicc",normal,41,Completed,"Boss Hunter","Spawn Point (109.9 1.2 -109.8)","1","18:46:20","18:47:43",
Bot48,"IvanTheThicc",normal,41,Failed,"Boss Hunter","Spawn Point (107.1 16.2 -47.9)","1","18:47:48","18:48:56",
Bot52,"Fin",normal,50,Failed,"Chumming","Zone place_skier_12_2","1","18:38:13","18:40:15",
Bot50,"Doge",normal,32,Failed,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","18:38:13","18:41:16",
Bot51,"MusicManiac",normal,32,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","18:38:13","18:41:06",
Bot55,"wara",normal,40,Pending,"Big Red","Big Red: Objective #2","1","18:38:14","N/A",
Bot54,"lualeet",normal,33,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","18:38:14","N/A",
Bot53,"alexkarpen",normal,52,Active,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","18:38:15","N/A",
Bot76,"GGaulin",normal,60,Failed,"Power Switch","Power Switch: Objective #1","1","18:46:24","18:48:54",
Bot76,"GGaulin",normal,60,Completed,"Short Cut","Short Cut: Objective #1","1","18:48:55","18:51:16",
Bot76,"GGaulin",normal,60,Failed,"Giving Tree","Giving Tree: Objective #1","1","18:51:21","18:51:23",
Bot81,"7 TO 14 FERAL HOGS",normal,48,Completed,"Short Cut","Short Cut: Objective #1","1","18:50:42","18:53:51",
Bot81,"7 TO 14 FERAL HOGS",normal,48,Failed,"Power Switch","Power Switch: Objective #1","1","18:53:56","18:53:56",
Bot81,"7 TO 14 FERAL HOGS",normal,48,Active,"Fortress","Fortress: Objective #3","1","18:53:57","N/A",
Bot82,"Лёха Шапито (Barlog_M)",normal,1,Completed,"Giving Tree","Giving Tree: Objective #1","1","18:51:43","18:52:10",
Bot82,"Лёха Шапито (Barlog_M)",normal,1,Completed,"Fortress","Fortress: Objective #5","1","18:52:15","18:53:43",
Bot82,"Лёха Шапито (Barlog_M)",normal,1,Failed,"Fortress","Fortress: Objective #8","3","18:53:48","18:55:00",
Bot85,"gansik",normal,35,Pending,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","18:54:53","N/A",
Bot84,"Katto",normal,54,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","18:54:53","18:56:52",
Bot84,"Katto",normal,54,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","18:56:57","19:00:08",
Bot84,"Katto",normal,54,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","19:00:13","19:00:13",
Bot84,"Katto",normal,54,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","19:00:18","19:00:19",
Bot84,"Katto",normal,54,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","19:00:24","19:00:32",
Bot84,"Katto",normal,54,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","19:00:37","19:00:42",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","18:55:42","18:56:16",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","18:56:21","18:56:25",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","18:56:30","18:57:17",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","18:57:22","18:57:37",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","18:57:42","18:58:05",
Bot87,"Моня Кукуруза (Cheese)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","18:58:10","18:58:26",
