Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot34,"Barlog_M",hard,41,Failed,"Sewage Conduit Pump Switch","Sewage Conduit Pump Switch: Objective #1","1","13:33:47","13:34:00",
Bot34,"Barlog_M",hard,41,Failed,"Main Work Area 2nd Floor Patrol","Main Work Area 2nd Floor Patrol: Objective #5","2","13:34:01","13:36:33",
Bot35,"Dirtbikercj",hard,34,Failed,"Green Room","Green Room: Objective #1","1","13:33:49","13:35:24",
Bot36,"MacrossMX7167",hard,31,Completed,"TerraGroup Employee","Item Flash drive marked with blue tape","1","13:33:50","13:35:57",
Bot36,"MacrossMX7167",hard,31,Completed,"Server Room SW Stairs","Server Room SW Stairs: Objective #1","1","13:36:02","13:36:10",
Bot36,"MacrossMX7167",hard,31,Completed,"Boss Hunter","Spawn Point (-116.4 0.0 -256.5)","1","13:36:15","13:37:47",
Bot36,"MacrossMX7167",hard,31,Pending,"Boss Hunter","Spawn Point (-157.2 2.7 -227.0)","1","13:37:52","N/A",
Bot36,"MacrossMX7167",hard,31,Completed,"Boss Hunter","Spawn Point (-206.3 1.5 -291.0)","1","13:38:33","13:38:54",
Bot37,"mighty_condor",hard,50,Completed,"Boss Hunter","Spawn Point (-179.4 0.1 -407.4)","1","13:33:50","13:34:09",
Bot37,"mighty_condor",hard,50,Failed,"Boss Hunter","Spawn Point (-128.4 -4.0 -418.0)","1","13:34:15","13:34:59",
Bot38,"weardo98",hard,35,Failed,"Cargo Block Elevator Power Switch","Cargo Block Elevator Power Switch: Objective #1","1","13:33:50","13:35:06",
Bot40,"DrakiaXYZ",hard,40,Completed,"Security Office","Security Office: Objective #2","1","13:36:47","13:38:22",
Bot40,"DrakiaXYZ",hard,40,Active,"Security Office","Security Office: Objective #1","1","13:38:27","N/A",
Bot41,"Mako",hard,45,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #5","1","13:36:47","13:37:56",
Bot39,"T90Commander",hard,24,Completed,"Blue Room Entry","Blue Room Entry: Objective #1","1","13:36:48","13:37:22",
Bot39,"T90Commander",hard,24,Completed,"Blue Room Entry","Blue Room Entry: Objective #2","1","13:37:27","13:37:44",
Bot39,"T90Commander",hard,24,Failed,"Blue Room","Blue Room: Objective #2","1","13:37:49","13:38:11",
Bot39,"T90Commander",hard,24,Active,"Blue Room","Blue Room: Objective #1","1","13:38:16","N/A",
Bot42,"Boop",hard,51,Failed,"Admin Office","Admin Office: Objective #2","1","13:37:10","13:37:27",
